2023-05-04 21:47:56,431 INFO    MainThread:286661 [wandb_setup.py:_flush():76] Current SDK version is 0.15.1
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_setup.py:_flush():76] Configure stats pid to 286661
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_setup.py:_flush():76] Loading settings from /home/joowan/.config/wandb/settings
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_setup.py:_flush():76] Loading settings from /home/joowan/Desktop/face_pr/wandb/settings
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_single_task.py', 'program': '/home/joowan/Desktop/face_pr/train_single_task.py'}
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_init.py:_log_setup():507] Logging user logs to /home/joowan/Desktop/face_pr/wandb/run-20230504_214756-ax2mkc6e/logs/debug.log
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_init.py:_log_setup():508] Logging internal logs to /home/joowan/Desktop/face_pr/wandb/run-20230504_214756-ax2mkc6e/logs/debug-internal.log
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_init.py:init():547] calling init triggers
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_init.py:init():596] starting backend
2023-05-04 21:47:56,432 INFO    MainThread:286661 [wandb_init.py:init():600] setting up manager
2023-05-04 21:47:56,435 INFO    MainThread:286661 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-04 21:47:56,437 INFO    MainThread:286661 [wandb_init.py:init():606] backend started and connected
2023-05-04 21:47:56,438 INFO    MainThread:286661 [wandb_init.py:init():700] updated telemetry
2023-05-04 21:47:56,440 INFO    MainThread:286661 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-04 21:47:56,924 INFO    MainThread:286661 [wandb_run.py:_on_init():2177] communicating current version
2023-05-04 21:47:56,953 INFO    MainThread:286661 [wandb_run.py:_on_init():2186] got version response 
2023-05-04 21:47:56,953 INFO    MainThread:286661 [wandb_init.py:init():787] starting run threads in backend
2023-05-04 21:47:58,904 INFO    MainThread:286661 [wandb_run.py:_console_start():2158] atexit reg
2023-05-04 21:47:58,904 INFO    MainThread:286661 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-04 21:47:58,904 INFO    MainThread:286661 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-04 21:47:58,904 INFO    MainThread:286661 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-04 21:47:58,905 INFO    MainThread:286661 [wandb_init.py:init():829] run started, returning control to user process
2023-05-04 22:05:38,285 INFO    MainThread:286661 [wandb_run.py:_config_callback():1286] config_cb ('_wandb', 'visualize', 'train_val_loss') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/lineseries/v0', 'fieldSettings': {'step': 'step', 'lineKey': 'lineKey', 'lineVal': 'lineVal'}, 'stringSettings': {'title': 'Train vs. Validation Loss', 'xname': 'Epoch'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'train_val_loss_table'}], 'fields': []}]}]}}} None
2023-05-04 22:05:38,580 INFO    MainThread:286661 [wandb_run.py:_config_callback():1286] config_cb ('_wandb', 'visualize', 'train_val_acc') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/lineseries/v0', 'fieldSettings': {'step': 'step', 'lineKey': 'lineKey', 'lineVal': 'lineVal'}, 'stringSettings': {'title': 'Train vs. Validation accuracy', 'xname': 'Epoch'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'train_val_acc_table'}], 'fields': []}]}]}}} None
2023-05-04 22:05:54,270 WARNING MsgRouterThr:286661 [router.py:message_loop():77] message_loop has been closed
