2023-05-10 15:18:30,297 INFO    MainThread:11627 [wandb_setup.py:_flush():76] Configure stats pid to 11627
2023-05-10 15:18:30,298 INFO    MainThread:11627 [wandb_setup.py:_flush():76] Loading settings from /home/joowan/.config/wandb/settings
2023-05-10 15:18:30,298 INFO    MainThread:11627 [wandb_setup.py:_flush():76] Loading settings from /home/joowan/Desktop/face_pr/wandb/settings
2023-05-10 15:18:30,298 INFO    MainThread:11627 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-10 15:18:30,298 INFO    MainThread:11627 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-10 15:18:30,298 INFO    MainThread:11627 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_single_task.py', 'program': 'train_single_task.py'}
2023-05-10 15:18:30,298 INFO    MainThread:11627 [wandb_init.py:_log_setup():507] Logging user logs to /home/joowan/Desktop/face_pr/wandb/run-20230510_151830-qt8mbusw/logs/debug.log
2023-05-10 15:18:30,298 INFO    MainThread:11627 [wandb_init.py:_log_setup():508] Logging internal logs to /home/joowan/Desktop/face_pr/wandb/run-20230510_151830-qt8mbusw/logs/debug-internal.log
2023-05-10 15:18:30,298 INFO    MainThread:11627 [wandb_init.py:init():547] calling init triggers
2023-05-10 15:18:30,299 INFO    MainThread:11627 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-05-10 15:18:30,299 INFO    MainThread:11627 [wandb_init.py:init():595] starting backend
2023-05-10 15:18:30,299 INFO    MainThread:11627 [wandb_init.py:init():599] setting up manager
2023-05-10 15:18:30,306 INFO    MainThread:11627 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-10 15:18:30,313 INFO    MainThread:11627 [wandb_init.py:init():605] backend started and connected
2023-05-10 15:18:30,318 INFO    MainThread:11627 [wandb_init.py:init():695] updated telemetry
2023-05-10 15:18:30,331 INFO    MainThread:11627 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-05-10 15:18:30,888 INFO    MainThread:11627 [wandb_run.py:_on_init():2176] communicating current version
2023-05-10 15:18:30,936 INFO    MainThread:11627 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.15.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-05-10 15:18:30,936 INFO    MainThread:11627 [wandb_init.py:init():782] starting run threads in backend
2023-05-10 15:18:32,668 INFO    MainThread:11627 [wandb_run.py:_console_start():2157] atexit reg
2023-05-10 15:18:32,668 INFO    MainThread:11627 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-05-10 15:18:32,668 INFO    MainThread:11627 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-05-10 15:18:32,668 INFO    MainThread:11627 [wandb_run.py:_redirect():2102] Redirects installed.
2023-05-10 15:18:32,669 INFO    MainThread:11627 [wandb_init.py:init():824] run started, returning control to user process
